id,bbox,sick
Train_602.jpg,"[0, 0, 64, 43]",1
Train_557.jpg,"[64, 0, 64, 43]",1
Train_1435.jpg,"[128, 0, 64, 43]",1
Train_91.jpg,"[192, 0, 64, 43]",1
Train_96.jpg,"[256, 0, 64, 43]",1
Train_464.jpg,"[320, 0, 64, 43]",1
Train_11.jpg,"[384, 0, 64, 43]",1
Train_1179.jpg,"[448, 0, 64, 43]",1
Train_19.jpg,"[512, 0, 64, 43]",1
Train_74.jpg,"[576, 0, 64, 43]",1
Train_1442.jpg,"[640, 0, 64, 43]",0
Train_1023.jpg,"[768, 0, 64, 43]",1
Train_1511.jpg,"[832, 0, 64, 43]",1
Train_1795.jpg,"[960, 0, 64, 43]",1
Train_226.jpg,"[1024, 0, 64, 43]",1
Train_1514.jpg,"[1152, 0, 64, 43]",1
Train_751.jpg,"[1216, 0, 64, 43]",1
Train_1537.jpg,"[1344, 0, 64, 43]",1
Train_1197.jpg,"[1408, 0, 64, 43]",1
Train_1734.jpg,"[1600, 0, 64, 43]",0
Train_1428.jpg,"[1664, 0, 64, 43]",1
Train_449.jpg,"[1728, 0, 64, 43]",1
Train_395.jpg,"[1792, 0, 64, 43]",1
Train_95.jpg,"[64, 43, 64, 43]",1
Train_238.jpg,"[128, 43, 64, 43]",0
Train_1017.jpg,"[256, 43, 64, 43]",0
Train_874.jpg,"[320, 43, 64, 43]",1
Train_1564.jpg,"[384, 43, 64, 43]",0
Train_436.jpg,"[448, 43, 64, 43]",1
Train_350.jpg,"[512, 43, 64, 43]",1
Train_1783.jpg,"[640, 43, 64, 43]",1
Train_1508.jpg,"[704, 43, 64, 43]",0
Train_1464.jpg,"[832, 43, 64, 43]",1
Train_808.jpg,"[960, 43, 64, 43]",1
Train_1062.jpg,"[1024, 43, 64, 43]",1
Train_1415.jpg,"[1088, 43, 64, 43]",0
Train_645.jpg,"[1216, 43, 64, 43]",1
Train_1447.jpg,"[1280, 43, 64, 43]",0
Train_1035.jpg,"[1344, 43, 64, 43]",1
Train_1207.jpg,"[1408, 43, 64, 43]",1
Train_764.jpg,"[1472, 43, 64, 43]",1
Train_1636.jpg,"[1664, 43, 64, 43]",1
Train_62.jpg,"[1728, 43, 64, 43]",1
Train_753.jpg,"[1792, 43, 64, 43]",0
Train_532.jpg,"[0, 86, 64, 43]",0
Train_518.jpg,"[64, 86, 64, 43]",1
Train_1144.jpg,"[128, 86, 64, 43]",1
Train_1468.jpg,"[192, 86, 64, 43]",1
Train_336.jpg,"[256, 86, 64, 43]",1
Train_543.jpg,"[448, 86, 64, 43]",1
Train_138.jpg,"[512, 86, 64, 43]",1
Train_654.jpg,"[576, 86, 64, 43]",1
Train_1154.jpg,"[640, 86, 64, 43]",1
Train_320.jpg,"[832, 86, 64, 43]",0
Train_542.jpg,"[896, 86, 64, 43]",1
Train_681.jpg,"[960, 86, 64, 43]",1
Train_148.jpg,"[1024, 86, 64, 43]",1
